"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 0.991342204404184, 0, 1.04393058280117, 51, 83, 0, 0.99852288275475, 0, 1.01003303506417, 610, 610
2, 0, 0.99452052574519, 0, 1.04614256651144, 51, 83, 0, 1.00197912273277, 0, 1.01258016902188, 610, 610
3, 0, 0.995555719978297, 0, 1.04687399981494, 51, 83, 0, 1.00310740464978, 0, 1.01341456502821, 610, 610
4, 0, 0.99711677882017, 0, 1.04796506847869, 51, 83, 0, 1.00480942098339, 0, 1.01466970686009, 610, 610
5, 0, 0.997301622871881, 0, 1.04809500874068, 51, 83, 0, 1.00501087354581, 0, 1.01481852175148, 610, 610
6, 0, 0.995939346967068, 0, 1.04713766920313, 51, 83, 0, 1.00352629765585, 0, 1.01372219690439, 610, 610
7, 0, 0.992588093213402, 0, 1.04478777628594, 51, 83, 0, 0.999872212168225, 0, 1.01102519715622, 610, 610
8, 0, 0.986172141437509, 0, 1.04091624696925, 65, 83, 0, 0.9938232125337, 0, 1.00658722537804, 610, 610
9, 0, 0.97962540015493, 0, 1.0371388792764, 65, 83, 0, 0.988130177436366, 0, 1.00251790301149, 610, 610
10, 0, 0.9824710057446, 0, 1.04565904410526, 65, 83, 0, 0.99137000583199, 0, 1.00670466950417, 610, 610
11, 0, 0.977589328228396, 0, 1.04012551091559, 65, 83, 0, 0.987242827941155, 0, 1.00367172166038, 610, 610
12, 0, 0.973574492784679, 0, 1.03687847777115, 65, 83, 0, 0.98385371136604, 0, 1.00118474543266, 610, 610
13, 0, 0.973896165163557, 0, 1.03705655073067, 65, 83, 0, 0.984126075388776, 0, 1.00138672993326, 610, 610
14, 0, 0.974305823448875, 0, 1.03727301212336, 65, 83, 0, 0.984471848658815, 0, 1.00164064391376, 610, 610
15, 0, 0.980032101434898, 0, 1.04351803874341, 65, 83, 0, 0.990296183464007, 0, 1.00760887410532, 610, 610
16, 0, 0.979292664306072, 0, 1.043114355391, 65, 83, 0, 0.989670228219778, 0, 1.00714563063479, 610, 610
17, 0, 0.979203811432747, 0, 1.04307481933681, 65, 83, 0, 0.989596255719435, 0, 1.0070932475534, 610, 610
18, 0, 0.982651035150786, 0, 1.04546923932959, 65, 83, 0, 0.992500575280706, 0, 1.00922050449569, 610, 610
19, 0, 0.984441834690558, 0, 1.04749902517623, 65, 83, 0, 0.994015122820296, 0, 1.01033368114424, 610, 610
20, 0, 0.986261707032633, 0, 1.04959859102323, 65, 83, 0, 0.995617421174021, 0, 1.0114215525679, 610, 610
21, 0, 0.989089411486802, 0, 1.04852812417675, 65, 83, 0, 0.998090680006566, 0, 1.01320399285028, 610, 610
22, 0, 0.989084666594492, 0, 1.04853436911634, 65, 83, 0, 0.998088325902312, 0, 1.01320459000588, 610, 610
23, 0, 0.992900865887707, 0, 1.04444245442018, 65, 83, 0, 1.00123577036007, 0, 1.01553941186413, 610, 610
24, 0, 0.991937167235468, 0, 1.04030703524495, 65, 83, 0, 0.999598663894148, 0, 1.01253699368965, 610, 610
25, 0, 0.997749964116425, 0, 1.04442603740126, 51, 83, 0, 1.00491769826948, 0, 1.01646116441146, 610, 610
