"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
1, "Line.l115", 400, 600, 103.609028766947, 69.0726858446317, 2.40177711982884, 414.43611506779, 268.769757843384, 331.3246222093 
1, "Line.l3", 400, 600, 100.567683065575, 67.0451220437164, 2.40177711982884, 402.270732262298, 262.833791681819, 300.938074314864 
1, "Line.sw1", 400, 600, 103.609028795128, 69.0726858634186, 2.40177711982884, 414.436115180511, 268.769757498025, 331.324622749354 
7, "Line.l115", 400, 600, 100.278461151825, 66.8523074345501, 2.40177711982884, 401.1138446073, 260.218202531439, 320.82232266762 
7, "Line.sw1", 400, 600, 100.278461128757, 66.8523074191711, 2.40177711982884, 401.113844515027, 260.218202642138, 320.822323054495 
8, "Line.l115", 400, 600, 115.450138728938, 76.9667591526255, 2.40177711982884, 461.800554915753, 299.289476860055, 368.779279162453 
8, "Line.l3", 400, 600, 112.07152450168, 74.7143496677866, 2.40177711982884, 448.28609800672, 292.662439424779, 334.91050936453 
8, "Line.l7", 400, 600, 110.37439055733, 73.58292703822, 2.40177711982884, 441.49756222932, 292.66260175424, 334.910642206222 
8, "Line.l10", 400, 600, 101.880048223827, 67.9200321492181, 2.40177711982884, 407.520192895309, 286.042687459514, 334.910728415914 
8, "Line.sw1", 400, 600, 115.45013874235, 76.9667591615668, 2.40177711982884, 461.800554969401, 299.289476689519, 368.779280028631 
9, "Line.l115", 400, 600, 129.719854366689, 86.4799029111259, 2.40177711982884, 518.879417466755, 336.271349235346, 414.229392624853 
9, "Line.l3", 400, 600, 125.940292725236, 83.9601951501576, 2.40177711982884, 503.761170900946, 328.832025558386, 376.277814249979 
9, "Line.l7", 400, 600, 124.039409597296, 82.6929397315303, 2.40177711982884, 496.157638389182, 328.832229290389, 376.277975712322 
9, "Line.l10", 400, 600, 114.542120451103, 76.3614136340689, 2.40177711982884, 458.168481804413, 321.393239332426, 376.278080706553 
9, "Line.sw1", 400, 600, 129.719854347527, 86.4799028983511, 2.40177711982884, 518.879417390107, 336.271349197916, 414.229393482091 
10, "Line.l115", 400, 600, 137.591018074024, 91.7273453826824, 2.40177711982884, 550.364072296094, 356.591204302878, 439.328434705508 
10, "Line.l3", 400, 600, 133.609709367282, 89.0731395781882, 2.40177711982884, 534.438837469129, 348.745148659629, 399.089977462417 
10, "Line.l7", 400, 600, 131.606232101559, 87.737488067706, 2.40177711982884, 526.424928406236, 348.745370916364, 399.090150624863 
10, "Line.l10", 400, 600, 121.544869899479, 81.0299132663197, 2.40177711982884, 486.179479597918, 340.8960457933, 399.090263256069 
10, "Line.sw1", 400, 600, 137.591018084816, 91.7273453898776, 2.40177711982884, 550.364072339265, 356.59120466033, 439.328435429766 
11, "Line.l115", 400, 600, 147.791381029018, 98.5275873526788, 2.40177711982884, 591.165524116073, 383.309075102165, 471.887289093082 
11, "Line.l3", 400, 600, 143.526527752233, 95.6843518348221, 2.40177711982884, 574.106111008933, 374.896744603287, 428.756834941981 
11, "Line.l7", 400, 600, 141.378535566169, 94.2523570441127, 2.40177711982884, 565.514142264676, 374.896988890604, 428.757025181153 
11, "Line.l10", 400, 600, 130.606559320416, 87.0710395469438, 2.40177711982884, 522.426237281663, 366.47617752497, 428.757148985518 
11, "Line.sw1", 400, 600, 147.791380926735, 98.5275872844898, 2.40177711982884, 591.165523706939, 383.309074857967, 471.887289101456 
12, "Line.l115", 400, 600, 156.169440368653, 104.112960245769, 2.40177711982884, 624.677761474613, 405.249802549286, 498.625087142582 
12, "Line.l3", 400, 600, 151.673222344029, 101.115481562686, 2.40177711982884, 606.692889376115, 396.377405027056, 453.143255469104 
12, "Line.l7", 400, 600, 149.407128237759, 99.6047521585062, 2.40177711982884, 597.628512951037, 396.377665198347, 453.143458038521 
12, "Line.l10", 400, 600, 138.056520057038, 92.037680038025, 2.40177711982884, 552.22608022815, 387.492391126869, 453.143589889326 
12, "Line.sw1", 400, 600, 156.1694404849, 104.112960323267, 2.40177711982884, 624.677761939601, 405.249802925433, 498.625087056294 
13, "Line.l115", 400, 600, 155.494968298682, 103.663312199121, 2.40177711982884, 621.979873194726, 403.449994532684, 496.460372667012 
13, "Line.l3", 400, 600, 151.0175274216, 100.6783516144, 2.40177711982884, 604.070109686398, 394.615137960264, 451.169843318416 
13, "Line.l7", 400, 600, 148.760989049498, 99.1739926996653, 2.40177711982884, 595.043956197992, 394.615396896558, 451.17004493929 
13, "Line.l10", 400, 600, 137.457293543945, 91.6381956959634, 2.40177711982884, 549.829174175781, 385.768094080616, 451.170176171815 
13, "Line.sw1", 400, 600, 155.494968244862, 103.663312163241, 2.40177711982884, 621.979872979448, 403.449994577531, 496.460373243344 
14, "Line.l115", 400, 600, 154.640092269587, 103.093394846391, 2.40177711982884, 618.560369078348, 401.20703322633, 493.730474042682 
14, "Line.l3", 400, 600, 150.186240277252, 100.124160184835, 2.40177711982884, 600.744961109009, 392.419056614125, 448.67951693229 
