s, 1, 38487.32, -2.052957
s, 2, 38495.91, -122.1234
s, 3, 38436.91, 117.8133
ls_bus, 1, 7385.054, -7.048751
ls_bus, 2, 7381.893, -127.2513
ls_bus, 3, 7347.59, 112.4117
feederhead, 1, 7384.785, -7.050855
feederhead, 2, 7381.609, -127.2535
feederhead, 3, 7347.266, 112.4093
b12541, 1, 7322.195, -12.89124
b13552, 1, 7320.806, -12.89045
b41868, 1, 7234.385, -12.73705
b41868, 2, 7268.179, -135.4083
b41869, 1, 7231.038, -12.73159
b41869, 2, 7265.186, -135.4151
b4609, 3, 7398.901, 106.7406
b4609, 1, 7476.331, -11.3473
b4609, 2, 7453.73, -131.7133
b34986, 3, 7398.81, 106.7406
g43132, 3, 7228.569, 110.6977
g43133, 3, 7228.491, 110.6977
b18915, 1, 7275.237, -12.74307
b18915, 2, 7363.31, -134.3781
b18915, 3, 7422.194, 105.7537
b18916, 1, 7272.31, -12.75628
b18916, 2, 7361.392, -134.399
b18916, 3, 7421.85, 105.7425
b4833, 1, 7427.438, -11.58557
b4833, 2, 7438.66, -132.4004
b4833, 3, 7452.735, 106.7586
5862128364, 1, 7427.153, -11.58513
5862128364, 2, 7438.377, -132.3999
5862128364, 3, 7452.446, 106.7591
b4787, 1, 7471.192, -11.2417
b4787, 2, 7468.076, -131.7817
b4787, 3, 7440.409, 107.0143
b4784, 1, 7471.407, -11.24608
b4784, 2, 7467.638, -131.7785
b4784, 3, 7438.761, 107.0037
b45833, 2, 7360.887, -133.0698
b45835, 2, 7360.422, -133.0697
5925528209, 3, 7224.55, 110.697
5925528209a, 3, 7224.55, 110.697
6084829720, 1, 7315.727, -12.88763
b50640, 1, 7315.158, -12.88729
b4806, 1, 7469.918, -11.21595
b4806, 2, 7470.572, -131.801
b4806, 3, 7450.07, 107.0755
b4805, 1, 7470.086, -11.21953
b4805, 2, 7470.245, -131.7983
b4805, 3, 7448.748, 107.0672
b4711, 1, 7477.011, -11.34342
b4711, 2, 7455.251, -131.7095
b4711, 3, 7400.101, 106.7482
b4710, 1, 7476.771, -11.34493
b4710, 2, 7455.101, -131.7105
b4710, 3, 7399.866, 106.747
b56675, 2, 7194.429, -135.5066
b56678, 2, 7193.536, -135.5064
b4861, 1, 7474.639, -11.13611
b4861, 2, 7477.697, -131.7339
b4861, 3, 7459.348, 107.1822
b4859, 1, 7472.021, -11.17259
b4859, 2, 7474.461, -131.7711
b4859, 3, 7456.172, 107.1377
b10374, 1, 7349.429, -8.316379
b41240, 1, 7349.297, -8.316301
b55545, 3, 7382.124, 105.5037
b55546, 3, 7382.108, 105.5037
b18978, 3, 7366.203, 105.5976
b18979, 3, 7365.581, 105.5977
b4987, 1, 7331.224, -9.12401
b4987, 2, 7278.448, -129.4563
b4987, 3, 7254.143, 109.785
b4982, 1, 7328.231, -9.266673
b4982, 2, 7271.712, -129.6186
b4982, 3, 7249.665, 109.6024
b18901, 1, 7314.303, -12.5734
b18901, 2, 7389.171, -134.1081
b18901, 3, 7426.453, 105.8958
b18902, 1, 7311.71, -12.58461
b18902, 2, 7387.465, -134.1255
b18902, 3, 7426.153, 105.8866
b2526, 1, 7351.244, -8.340113
b2526, 2, 7318.159, -128.513
b2526, 3, 7273.669, 110.7721
b2532, 1, 7351.414, -8.345392
b2532, 2, 7318.263, -128.5079
b2532, 3, 7272.239, 110.7646
b60890, 2, 7195.278, -135.5067
b60891, 2, 7195.278, -135.5067
b47667, 1, 7468.105, -11.20388
b47667, 2, 7468.6, -131.8062
b47667, 3, 7451.588, 107.0939
b47668, 1, 7468.059, -11.20382
b47668, 2, 7468.557, -131.8062
b47668, 3, 7451.561, 107.0939
b41462, 3, 7359.808, 106.705
b57845, 3, 7359.796, 106.705
b4896, 1, 7300.103, -10.57189
b4896, 2, 7208.061, -131.1005
b4896, 3, 7205.626, 107.9109
b4891, 1, 7296.997, -10.65483
b4891, 2, 7202.697, -131.195
b4891, 3, 7201.492, 107.8022
b18856, 1, 7324.77, -11.97541
b18856, 2, 7352.614, -133.1569
b18856, 3, 7446.056, 106.4009
b18858, 1, 7318.207, -12.00055
b18858, 2, 7347.663, -133.2003
b18858, 3, 7445.36, 106.3791
b19064, 1, 7475.321, -11.31492
b19064, 3, 7393.593, 106.8932
b33451, 1, 7475.265, -11.31512
b33451, 3, 7393.417, 106.8932
b60403, 2, 7273.842, -134.8892
b61746, 2, 7272.725, -134.8891
b56663, 2, 7200.952, -135.5077
b56664, 2, 7200.187, -135.5076
b39817, 3, 7370.705, 105.4619
b39819, 3, 7368.447, 105.462
b16708, 3, 7386.044, 106.7717
5851228580, 3, 7385.966, 106.7717
b18969, 3, 7373.742, 105.5967
b18971, 3, 7371.973, 105.5969
g42392, 3, 7400.929, 106.5587
5918528239, 3, 7400.905, 106.5587
b19004, 3, 7355.449, 105.5994
b8019, 3, 7355.256, 105.5994
b2648, 3, 7263.632, 110.7104
b31756, 3, 7262.009, 110.6987
b60842, 3, 7355.421, 106.8964
b60843, 3, 7355.396, 106.8964
b18997, 3, 7356.98, 105.5991
6095529388, 3, 7356.934, 105.5991
b26169, 3, 7358.371, 106.7052
b44432, 3, 7357.789, 106.7053
b52582, 2, 7196.705, -135.5045
b52584, 2, 7195.671, -135.5044
b24504, 3, 7361.195, 106.7048
b41463, 3, 7360.693, 106.7049
5906628649, 2, 7360.259, -133.0696
5905728658, 2, 7360.231, -133.0696
b15845, 3, 7334.025, 106.898
b24227, 3, 7333.557, 106.898
b18882, 1, 7374.098, -12.31796
b18882, 2, 7428.229, -133.7139
b18882, 3, 7433.951, 106.1046
b18884, 1, 7367.748, -12.34449
b18884, 2, 7424.003, -133.7555
b18884, 3, 7433.178, 106.0826
b13932, 3, 7361.556, 106.896
b15821, 3, 7359.979, 106.8961
b4888, 1, 7294.168, -10.73066
b4888, 2, 7197.848, -131.2816
b4888, 3, 7197.782, 107.7032
b388, 1, 7294.116, -10.73016
b388, 2, 7197.613, -131.2818
b388, 3, 7197.809, 107.7031
b18936, 1, 7200.111, -13.0024
b18936, 2, 7307.79, -134.8175
b18936, 3, 7407.478, 105.4875
b18938, 1, 7192.415, -13.02536
b18938, 2, 7301.847, -134.8594
b18938, 3, 7406.093, 105.461
b19046, 1, 7468.209, -11.20401
b19046, 2, 7468.697, -131.8062
b19046, 3, 7451.65, 107.0938
b47665, 1, 7468.197, -11.20399
b47665, 2, 7468.686, -131.8062
b47665, 3, 7451.643, 107.0938
b60928, 3, 7233.682, 110.6978
b61248, 3, 7233.665, 110.6978
b18849, 1, 7347.836, -11.89171
b18849, 2, 7371.541, -133.001
b18849, 3, 7448.018, 106.4786
b18850, 1, 7344.579, -11.90289
b18850, 2, 7368.653, -133.0235
b18850, 3, 7447.81, 106.4675
b4963, 1, 7317.687, -9.808101
b4963, 2, 7246.964, -130.235
b4963, 3, 7233.468, 108.9076
b4962, 1, 7316.983, -9.855622
b4962, 2, 7244.883, -130.2887
b4962, 3, 7232.077, 108.8456
b18865reg, 1, 7429.725, -12.09169
b18865reg, 2, 7466.545, -133.3531
b18865reg, 3, 7441.256, 106.2973
b18866, 1, 7426.466, -12.10466
b18866, 2, 7464.285, -133.374
b18866, 3, 7440.822, 106.2862
b19018, 2, 7379.086, -135.142
b19018, 1, 7372.953, -12.93246
6060229368, 2, 7378.927, -135.1421
b46976, 1, 7201.133, -12.69494
b52162, 1, 7200.681, -12.69472
g43336, 1, 7391.795, -12.94804
g43337, 1, 7391.769, -12.94802
b4579, 1, 7469.121, -11.35538
b4579, 2, 7448.823, -131.7214
b4579, 3, 7392.948, 106.7358
b66283, 1, 7467.586, -11.35478
b66283, 2, 7447.295, -131.7246
b66283, 3, 7392.214, 106.7354
b18976, 3, 7367.429, 105.5974
b18977, 3, 7366.873, 105.5975
b18837, 1, 7391.434, -11.75097
b18837, 2, 7410.068, -132.7187
b18837, 3, 7452.87, 106.6188
b18839, 1, 7383.72, -11.77484
b18839, 2, 7403.315, -132.7662
b18839, 3, 7451.746, 106.5952
b46250, 3, 7386.903, 106.7715
b46251, 3, 7386.724, 106.7715
b18926, 3, 7416.464, 105.6232
b18926, 1, 7239.894, -12.88459
b18926, 2, 7338.705, -134.6075
b60755, 3, 7416.45, 105.6232
b19040, 1, 7468.358, -11.2048
b19040, 2, 7469.216, -131.8063
b19040, 3, 7451.883, 107.0942
b19042, 1, 7468.35, -11.20428
b19042, 2, 7468.867, -131.8061
b19042, 3, 7451.719, 107.0937
b18924, 1, 7247.701, -12.86145
b18924, 2, 7344.815, -134.5672
b18924, 3, 7418.569, 105.6499
b18925, 1, 7243.934, -12.87261
b18925, 2, 7341.846, -134.5866
