Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
11, 2109.06968011134, 407.331170350357, 2109.06968011134, 2148.04413313692, 2075.10102240175, 1141.93748403874, 2075.10102240175, 2368.55767728496, 0, 0, 0, 0, 33.9565303218548, 67.589517058808, 33.9565303218548, 67.589517058808, 33.9565303218548, 67.589517058808, 0, 0, 33.9565303218548, 0, 33.9565159202528, 0.0000144016020024799, 31.6937536864763, 1.05541666252908, 32.7491703490046, 1.20734557124822, 0, 0, 0, 0, 33.9565303218548, 0, 0, 0, 0, 0, 0, 33.9565159202528, 0, 0, 0, 0, 0, 0, 0.0000144016020024799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2075.10102240175, 0, 0, 0, 0, 0, 0
12, 2136.4135920786, 424.343259404611, 2136.4135920786, 2178.14835082928, 2101.68870987276, 1156.50028297363, 2101.68870987276, 2398.87230542285, 0, 0, 0, 0, 34.7765875989976, 69.2384946591747, 34.7765875989976, 69.2384946591747, 34.7765875989976, 69.2384946591747, 0, 0, 34.7765875989976, 0, 34.7765729316712, 0.0000146673263785876, 32.4549373943843, 1.08389148404985, 33.5388288784334, 1.23774405323789, 0, 0, 0, 0, 34.7765875989976, 0, 0, 0, 0, 0, 0, 34.7765729316712, 0, 0, 0, 0, 0, 0, 0.0000146673263785876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2101.68870987276, 0, 0, 0, 0, 0, 0
13, 2160.614861876, 439.415372187891, 2160.614861876, 2204.84522147802, 2125.14626706443, 1169.3873966971, 2125.14626706443, 2425.63672877287, 0, 0, 0, 0, 35.514581576112, 70.7228498746105, 35.514581576112, 70.7228498746105, 35.514581576112, 70.7228498746105, 0, 0, 35.514581576112, 0, 35.5145666747625, 0.0000149013494228604, 33.1397340232405, 1.10977978965518, 34.2495138128948, 1.26505286186774, 0, 0, 0, 0, 35.514581576112, 0, 0, 0, 0, 0, 0, 35.5145666747625, 0, 0, 0, 0, 0, 0, 0.0000149013494228604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2125.14626706443, 0, 0, 0, 0, 0, 0
14, 2123.69515364992, 416.42605294621, 2160.614861876, 2204.84522147802, 2089.23139068306, 1149.73447385207, 2125.14626706443, 2425.63672877287, 0, 0, 0, 0, 34.3939625342476, 68.4693143705493, 35.514581576112, 70.7228498746105, 34.3939625342476, 68.4693143705493, 0, 0, 35.514581576112, 0, 34.3939479899045, 0.000014544343120606, 32.0995245431674, 1.07082579231035, 33.1703503354786, 1.22359765442586, 0, 0, 0, 0, 34.3939625342476, 0, 0, 0, 0, 0, 0, 34.3939479899045, 0, 0, 0, 0, 0, 0, 0.000014544343120606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2089.23139068306, 0, 0, 0, 0, 0, 0
15, 2125.8440284745, 417.764575965793, 2160.614861876, 2204.84522147802, 2091.39000245327, 1150.87377313049, 2125.14626706443, 2425.63672877287, 0, 0, 0, 0, 34.458035210461, 68.5979516422543, 35.514581576112, 70.7228498746105, 34.458035210461, 68.5979516422543, 0, 0, 35.514581576112, 0, 34.4580206467601, 0.0000145637009511792, 32.1592180962133, 1.07285179905435, 33.2320698952675, 1.22595075149256, 0, 0, 0, 0, 34.458035210461, 0, 0, 0, 0, 0, 0, 34.4580206467601, 0, 0, 0, 0, 0, 0, 0.0000145637009511792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2091.39000245327, 0, 0, 0, 0, 0, 0
16, 2140.3878345131, 426.816923239236, 2160.614861876, 2204.84522147802, 2105.51818382943, 1158.61878840198, 2125.14626706443, 2425.63672877287, 0, 0, 0, 0, 34.8971925975184, 69.48114050536, 35.514581576112, 70.7228498746105, 34.8971925975184, 69.48114050536, 0, 0, 35.514581576112, 0, 34.8971778963895, 0.0000147011288646527, 32.5667608971918, 1.08819766244571, 33.6549585596377, 1.24221933675176, 0, 0, 0, 0, 34.8971925975184, 0, 0, 0, 0, 0, 0, 34.8971778963895, 0, 0, 0, 0, 0, 0, 0.0000147011288646527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2105.51818382943, 0, 0, 0, 0, 0, 0
17, 2240.88657660465, 489.518617889408, 2240.88657660465, 2293.73083130242, 2202.8559070989, 1212.08635955358, 2202.8559070989, 2514.30457392424, 0, 0, 0, 0, 38.0404796334903, 75.8037520239902, 38.0404796334903, 75.8037520239902, 38.0404796334903, 75.8037520239902, 0, 0, 38.0404796334903, 0, 38.0404639054069, 0.0000157280834682913, 35.484436140929, 1.19799965665946, 36.6824357975878, 1.35802810781901, 0, 0, 0, 0, 38.0404796334903, 0, 0, 0, 0, 0, 0, 38.0404639054069, 0, 0, 0, 0, 0, 0, 0.0000157280834682913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2202.8559070989, 0, 0, 0, 0, 0, 0
18, 2645.93771266824, 731.686828119213, 2645.93771266824, 2745.24170042698, 2593.28987052281, 1426.59404264697, 2593.28987052281, 2959.78426833309, 340.126995095079, 0, 382.532652983666, 0, 52.5829697750648, 105.087107915479, 52.5829697750648, 105.087107915479, 52.5829697750648, 105.087107915479, 0, 0, 52.5829697750648, 0, 52.5829489198229, 0.0000208552418940612, 49.0034704800102, 1.71262485731778, 50.7160953373282, 1.8668535824948, 0, 0, 0, 0, 52.5829697750648, 0, 0, 0, 0, 0, 0, 52.5829489198229, 0, 0, 0, 0, 0, 0, 0.0000208552418940612, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593.28987052281, 0, 0, 0, 0, 0, 0
19, 2761.6619893661, 790.779643705631, 2761.6619893661, 2872.64849719014, 2705.10754896502, 1488.46201171588, 2705.10754896502, 3087.57607384641, 447.092094275887, 0, 522.52999655521, 0, 56.5675505581173, 113.097321950772, 56.5675505581173, 113.097321950772, 56.5675505581173, 113.097321950772, 0, 0, 56.5675505581173, 0, 56.5675282704184, 0.0000222876988747006, 52.747505113165, 1.81843492656042, 54.5659400397257, 2.00158823069271, 0, 0, 0, 0, 56.5675505581173, 0, 0, 0, 0, 0, 0, 56.5675282704184, 0, 0, 0, 0, 0, 0, 0.0000222876988747006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2705.10754896502, 0, 0, 0, 0, 0, 0
20, 2680.51655378427, 739.026125889072, 2761.6619893661, 2872.64849719014, 2627.21442645046, 1445.72624966764, 2705.10754896502, 3087.57607384641, 359.570026149545, 0, 407.018235349853, 0, 53.2858164049396, 106.49001478282, 56.5675505581173, 113.097321950772, 53.2858164049396, 106.49001478282, 0, 0, 56.5675505581173, 0, 53.2857952722507, 0.0000211326889095116, 49.6920490932664, 1.70731953709975, 51.3993686303664, 1.88642664188428, 0, 0, 0, 0, 53.2858164049396, 0, 0, 0, 0, 0, 0, 53.2857952722507, 0, 0, 0, 0, 0, 0, 0.0000211326889095116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2627.21442645046, 0, 0, 0, 0, 0, 0
