"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
18, "Line.l115", 400, 600, 114.750863655151, 76.5005757701008, 2.40177711982884, 459.003454620605, 297.135911257562, 366.402336786147 
18, "Line.l3", 400, 600, 111.383499905378, 74.2556666035855, 2.40177711982884, 445.533999621513, 290.52825873981, 332.866802043702 
18, "Line.l7", 400, 600, 109.692138564528, 73.1280923763517, 2.40177711982884, 438.76855425811, 290.528419564651, 332.86693076813 
18, "Line.l10", 400, 600, 101.225489386159, 67.4836595907724, 2.40177711982884, 404.901957544634, 283.927888172958, 332.867014246242 
18, "Line.sw1", 400, 600, 114.750863707098, 76.5005758047318, 2.40177711982884, 459.003454828391, 297.135911336392, 366.402337059642 
19, "Line.l115", 400, 600, 119.316422252976, 79.5442815019839, 2.40177711982884, 477.265689011904, 309.044170874306, 381.162080459441 
19, "Line.l3", 400, 600, 115.832472641542, 77.2216484276944, 2.40177711982884, 463.329890566166, 302.200606872319, 346.252806902593 
19, "Line.l7", 400, 600, 114.081918913724, 76.054612609149, 2.40177711982884, 456.327675654894, 302.200781139429, 346.252942959497 
19, "Line.l10", 400, 600, 105.269112316432, 70.1794082109548, 2.40177711982884, 421.076449265729, 295.362327460048, 346.253031230377 
19, "Line.sw1", 400, 600, 119.316422349053, 79.544281566035, 2.40177711982884, 477.26568939621, 309.044170611748, 381.162080932662 
20, "Line.l115", 400, 600, 115.492387345778, 76.994924897185, 2.40177711982884, 461.96954938311, 299.090880413473, 369.009613052061 
20, "Line.l3", 400, 600, 112.117410732456, 74.744940488304, 2.40177711982884, 448.469642929824, 292.468002105862, 335.216775136273 
20, "Line.l7", 400, 600, 110.422221809217, 73.6148145394783, 2.40177711982884, 441.68888723687, 292.468164205593, 335.216901810853 
20, "Line.l10", 400, 600, 101.884233172753, 67.9228221151688, 2.40177711982884, 407.536932691013, 285.852185414067, 335.216983905447 
20, "Line.sw1", 400, 600, 115.492387461261, 76.9949249741742, 2.40177711982884, 461.969549845045, 299.090880105149, 369.009613467889 
21, "Line.l115", 400, 600, 110.643126982907, 73.7620846552712, 2.40177711982884, 442.572507931627, 286.558768452081, 353.668394017801 
21, "Line.l3", 400, 600, 107.406425251416, 71.604283500944, 2.40177711982884, 429.625701005664, 280.216621658575, 321.295185566383 
21, "Line.l7", 400, 600, 105.781461250218, 70.5209741668117, 2.40177711982884, 423.12584500087, 280.216767165439, 321.295299440708 
21, "Line.sw1", 400, 600, 110.643126955875, 73.7620846372501, 2.40177711982884, 442.5725078235, 286.558768319391, 353.668394648092 
22, "Line.l115", 400, 600, 103.958624895623, 69.3057499304154, 2.40177711982884, 415.834499582493, 269.405731930238, 332.358593315801 
22, "Line.l3", 400, 600, 100.911619081431, 67.2744127209538, 2.40177711982884, 403.646476325723, 263.454495255252, 301.927232640731 
22, "Line.sw1", 400, 600, 103.958624909213, 69.3057499394754, 2.40177711982884, 415.834499636852, 269.405731710571, 332.358593893781 
34, "Line.l115", 400, 600, 105.299375951377, 70.1995839675844, 2.40177711982884, 421.197503805506, 272.964637596831, 336.729018484446 
34, "Line.l3", 400, 600, 102.19978563765, 68.1331904250999, 2.40177711982884, 408.7991425506, 266.905129316687, 305.943064605564 
34, "Line.l7", 400, 600, 100.64428125624, 67.0961875041599, 2.40177711982884, 402.577125024959, 266.905256575073, 305.943167768295 
34, "Line.sw1", 400, 600, 105.299376082469, 70.1995840549796, 2.40177711982884, 421.197504329877, 272.964637613194, 336.729018649269 
35, "Line.l115", 400, 600, 112.502649013627, 75.0017660090847, 2.40177711982884, 450.010596054508, 291.300284426886, 359.263599505947 
35, "Line.l3", 400, 600, 109.199776117537, 72.7998507450245, 2.40177711982884, 436.799104470147, 284.823459109202, 326.384853854977 
35, "Line.l7", 400, 600, 107.541177119778, 71.6941180798523, 2.40177711982884, 430.164708479114, 284.823612383573, 326.384976829185 
35, "Line.sw1", 400, 600, 112.502649035707, 75.0017660238047, 2.40177711982884, 450.010596142828, 291.300284396224, 359.263599538833 
36, "Line.l115", 400, 600, 110.604259538167, 73.7361730254449, 2.40177711982884, 442.417038152669, 286.37030642555, 353.235030695012 
36, "Line.l3", 400, 600, 107.356116432086, 71.5707442880574, 2.40177711982884, 429.424465728345, 280.004767623397, 320.914604711666 
36, "Line.l7", 400, 600, 105.725290726289, 70.4835271508594, 2.40177711982884, 422.901162905156, 280.004914263933, 320.914722641226 
36, "Line.sw1", 400, 600, 110.604259588493, 73.7361730589956, 2.40177711982884, 442.417038353973, 286.370306299956, 353.235030833001 
37, "Line.l115", 400, 600, 107.71935146854, 71.8129009790265, 2.40177711982884, 430.877405874159, 278.906288611123, 344.082855987895 
37, "Line.l3", 400, 600, 104.554379151919, 69.7029194346124, 2.40177711982884, 418.217516607675, 272.70998319656, 312.611348179804 
37, "Line.l7", 400, 600, 102.965791685354, 68.6438611235695, 2.40177711982884, 411.863166741417, 272.710119320617, 312.611458098883 
37, "Line.sw1", 400, 600, 107.719351335491, 71.8129008903274, 2.40177711982884, 430.877405341964, 278.90628876518, 344.082856065702 
38, "Line.l115", 400, 600, 104.454615665322, 69.636410443548, 2.40177711982884, 417.818462661288, 270.454545244278, 333.725183978545 
38, "Line.l3", 400, 600, 101.384332101207, 67.589554734138, 2.40177711982884, 405.537328404828, 264.451586918015, 303.222325081388 
38, "Line.sw1", 400, 600, 104.454615641091, 69.6364104273942, 2.40177711982884, 417.818462564365, 270.454545435091, 333.725184009885 
39, "Line.l115", 400, 600, 102.560615190122, 68.3737434600815, 2.40177711982884, 410.242460760489, 265.543871670022, 327.713700495641 
39, "Line.sw1", 400, 600, 102.560615242505, 68.3737434950031, 2.40177711982884, 410.242460970018, 265.543871797464, 327.71370051946 
40, "Line.l115", 400, 600, 100.089852756979, 66.7265685046529, 2.40177711982884, 400.359411027917, 259.184114007739, 319.883914772392 
40, "Line.sw1", 400, 600, 100.089852821639, 66.7265685477596, 2.40177711982884, 400.359411286557, 259.184114194646, 319.883915126654 
41, "Line.l115", 400, 600, 104.441025912814, 69.6273506085427, 2.40177711982884, 417.764103651256, 270.426933505253, 333.683477117832 
41, "Line.l3", 400, 600, 101.371099365606, 67.580732910404, 2.40177711982884, 405.484397462424, 264.424642207699, 303.184170900998 
