"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
62, 2256.89580069341, 496.218345394276, 2899.62771191088, 3029.01636225886, 38.5737076342712, 76.9044777398199, 62.4264814855712
63, 2200.10810727128, 460.724668142215, 2899.62771191088, 3029.01636225886, 36.7593307166707, 73.2537962624484, 62.4264814855712
64, 2167.21265057115, 440.206612037686, 2899.62771191088, 3029.01636225886, 35.7353850681118, 71.193490333432, 62.4264814855712
65, 2310.58504480608, 529.855782727459, 2899.62771191088, 3029.01636225886, 40.3433204294926, 80.4648784669134, 62.4264814855712
66, 2704.85929392302, 757.955869826847, 2899.62771191088, 3029.01636225886, 54.2837528593205, 108.510054458649, 62.4264814855712
67, 2821.9662372911, 832.767503651692, 2899.62771191088, 3029.01636225886, 59.117593241711, 118.243427759749, 62.4264814855712
68, 2726.97570145716, 772.055618417539, 2899.62771191088, 3029.01636225886, 55.1771018209988, 110.308867454886, 62.4264814855712
69, 2624.2750753604, 706.696622543116, 2899.62771191088, 3029.01636225886, 51.1057080628431, 102.109863169862, 62.4264814855712
70, 2492.02054368971, 622.926572643371, 2899.62771191088, 3029.01636225886, 46.1545445685132, 92.1430455108877, 62.4264814855712
71, 2307.81524095727, 510.410097720644, 2899.62771191088, 3029.01636225886, 39.7944676903421, 79.3462208267528, 62.4264814855712
72, 2061.26802757278, 363.556264538949, 2899.62771191088, 3029.01636225886, 32.2508164175303, 64.1702291430328, 62.4264814855712
73, 1833.83370347641, 240.560679697821, 2899.62771191088, 3029.01636225886, 26.4486075773013, 52.5028340051937, 62.4264814855712
74, 1718.27578707197, 169.727221228184, 2899.62771191088, 3029.01636225886, 23.7144551694447, 47.006441328634, 62.4264814855712
75, 1627.88903354909, 114.56328841942, 2899.62771191088, 3029.01636225886, 21.7456632923861, 43.0494765317667, 62.4264814855712
76, 1591.37879615636, 92.3343312693207, 2899.62771191088, 3029.01636225886, 20.9927467602186, 41.5365465201227, 62.4264814855712
77, 1596.26472108466, 95.3138290392698, 2899.62771191088, 3029.01636225886, 21.0918662476805, 41.7356078660389, 62.4264814855712
